크기,무게(ton),속도(km_h),색상,제로백(sec),차량발매연도,정지거리(m)
대형,1.29,81.7,초록색,17.5,2021,52.697
소형,1.08,93.1,붉은색,23.4,2010,50.274
대형,1.44,80.8,분홍색,12.9,2020,58.176
소형,1.1,89.3,초록색,21.7,2016,49.115
소형,1.1,87.4,흰색,23.5,2020,48.07
중형,1.23,112.8,회색,26.5,2013,69.372
중형,1.15,119.4,붉은색,14.0,2017,68.655
대형,1.27,71.7,붉은색,15.7,2016,45.53
소형,0.99,83.0,회색,8.5,2010,41.085
중형,1.28,87.8,분홍색,7.4,2018,56.192
대형,1.33,75.5,검은색,14.5,2009,50.208
대형,1.43,84.2,초록색,13.5,2018,60.203
소형,0.95,81.3,붉은색,28.5,2012,38.618
대형,1.38,82.7,검은색,11.3,2020,57.063
중형,1.29,90.5,분홍색,20.8,2008,58.373
소형,1.04,81.5,붉은색,20.5,2016,42.38
소형,1.1,103.5,회색,18.5,2008,56.925
대형,1.36,72.5,붉은색,13.7,2021,49.3
소형,1.01,106.2,회색,16.6,2021,53.631
중형,1.11,122.4,분홍색,14.0,2021,67.932
대형,1.37,78.0,회색,22.0,2018,53.43
소형,0.96,80.5,분홍색,16.8,2006,38.64
대형,1.41,76.3,붉은색,19.0,2020,53.791
중형,1.15,101.0,흰색,19.5,2008,58.075
대형,1.42,70.5,분홍색,24.2,2011,50.055
중형,1.1,121.1,흰색,22.8,2010,66.605
중형,1.25,104.2,푸른색,14.4,2017,65.125
대형,1.44,73.9,푸른색,11.0,2017,53.208
대형,1.5,84.5,붉은색,17.8,2005,63.375
중형,1.07,86.8,검은색,27.4,2009,46.438
중형,1.1,94.6,붉은색,12.4,2010,52.03
대형,1.34,70.8,붉은색,17.1,2005,47.436
대형,1.5,89.3,회색,7.9,2014,66.975
소형,0.9,95.4,초록색,23.9,2017,42.93
대형,1.5,71.3,흰색,17.5,2018,53.475
중형,1.29,86.6,흰색,13.6,2008,55.857
소형,0.92,97.9,분홍색,12.2,2021,45.034
대형,1.26,78.1,회색,23.6,2017,49.203
중형,1.3,93.4,붉은색,8.8,2012,60.71
중형,1.26,105.5,초록색,12.8,2017,66.465
대형,1.36,81.3,붉은색,18.5,2015,55.284
소형,1.08,105.3,흰색,9.4,2020,56.862
소형,1.07,105.9,회색,29.9,2016,56.657
중형,1.26,100.2,흰색,15.5,2014,63.126
대형,1.32,79.6,흰색,26.1,2019,52.536
중형,1.28,93.3,푸른색,24.3,2014,59.712
대형,1.25,83.1,회색,7.8,2005,51.938
소형,0.99,104.0,분홍색,11.3,2016,51.48
소형,0.95,102.6,흰색,21.8,2008,48.735
소형,1.08,84.6,초록색,14.9,2014,45.684
대형,1.43,75.7,분홍색,25.8,2005,54.126
대형,1.39,71.4,회색,9.5,2012,49.623
대형,1.39,78.1,푸른색,17.9,2008,54.28
소형,1.1,88.6,분홍색,16.6,2008,48.73
대형,1.31,70.5,검은색,19.9,2014,46.178
대형,1.43,70.2,흰색,27.2,2011,50.193
소형,0.98,90.7,분홍색,23.1,2007,44.443
중형,1.09,119.9,검은색,27.6,2014,65.346
대형,1.29,72.2,푸른색,17.9,2019,46.569
대형,1.34,87.9,회색,25.3,2020,58.893
중형,1.13,111.0,푸른색,16.1,2017,62.715
중형,1.2,117.2,붉은색,11.2,2007,70.32
중형,1.14,96.3,회색,29.1,2013,54.891
소형,0.92,82.1,초록색,9.1,2010,37.766
소형,0.95,109.0,푸른색,12.5,2012,51.775
소형,1.04,92.0,푸른색,10.5,2012,47.84
중형,1.05,120.1,분홍색,7.1,2017,63.053
대형,1.38,79.6,푸른색,15.7,2010,54.924
소형,0.91,89.2,초록색,15.7,2009,40.586
대형,1.41,88.9,붉은색,24.6,2006,62.675
소형,0.97,83.8,붉은색,10.7,2005,40.643
대형,1.4,80.4,검은색,21.6,2018,56.28
중형,1.16,100.3,붉은색,17.1,2020,58.174
중형,1.05,111.5,붉은색,18.8,2013,58.538
소형,0.97,89.5,초록색,17.6,2019,43.407
소형,0.92,106.0,검은색,14.0,2012,48.76
중형,1.05,121.9,흰색,9.0,2018,63.998
소형,1.08,97.5,분홍색,19.6,2020,52.65
중형,1.18,100.9,검은색,13.6,2020,59.531
소형,1.03,97.6,흰색,24.0,2009,50.264
소형,0.9,92.6,흰색,22.7,2018,41.67
소형,0.94,92.5,흰색,20.3,2017,43.475
대형,1.27,71.1,초록색,10.5,2018,45.149
소형,1.08,94.8,초록색,12.5,2008,51.192
대형,1.45,72.8,초록색,30.0,2007,52.78
소형,1.07,87.3,초록색,14.6,2006,46.706
중형,1.23,111.1,푸른색,12.9,2011,68.327
소형,1.04,106.8,분홍색,26.9,2009,55.536
소형,1.02,93.9,붉은색,29.5,2011,47.889
대형,1.48,79.8,분홍색,24.8,2016,59.052
소형,0.92,108.7,붉은색,13.7,2011,50.002
중형,1.19,110.5,흰색,26.8,2017,65.748
중형,1.24,120.9,붉은색,25.5,2006,74.958
소형,0.99,109.0,검은색,25.4,2007,53.955
대형,1.34,81.8,회색,12.0,2017,54.806
대형,1.32,88.1,검은색,13.5,2005,58.146
중형,1.24,103.5,흰색,24.4,2016,64.17
대형,1.28,84.6,검은색,19.4,2009,54.144
대형,1.25,86.6,검은색,13.6,2012,54.125
중형,1.17,85.4,붉은색,29.6,2020,49.959
중형,1.21,94.2,분홍색,20.5,2012,56.991
중형,1.15,107.0,초록색,12.2,2019,61.525
대형,1.5,73.9,분홍색,23.7,2020,55.425
대형,1.36,88.9,분홍색,29.2,2007,60.452
중형,1.17,92.6,붉은색,12.6,2014,54.171
대형,1.5,80.8,검은색,9.6,2020,60.6
소형,1.06,90.2,푸른색,12.8,2009,47.806
중형,1.3,120.5,붉은색,19.1,2010,78.325
대형,1.41,70.7,회색,18.6,2012,49.843
대형,1.29,75.8,회색,20.6,2017,48.891
중형,1.24,92.3,푸른색,23.7,2014,57.226
소형,1.05,82.7,흰색,11.4,2013,43.418
소형,0.9,97.2,흰색,20.8,2020,43.74
대형,1.29,77.6,분홍색,9.1,2011,50.052
소형,0.96,85.2,흰색,9.9,2010,40.896
소형,0.96,87.5,분홍색,18.6,2021,42.0
대형,1.35,84.0,회색,16.1,2016,56.7
중형,1.08,119.0,분홍색,13.3,2017,64.26
대형,1.34,76.8,붉은색,27.0,2011,51.456
중형,1.14,83.4,흰색,15.0,2015,47.538
중형,1.27,114.2,분홍색,20.8,2013,72.517
대형,1.37,86.6,분홍색,8.5,2013,59.321
중형,1.18,92.0,초록색,11.1,2010,54.28
중형,1.26,81.3,초록색,20.1,2013,51.219
중형,1.25,95.9,분홍색,8.3,2021,59.938
중형,1.07,87.7,회색,18.2,2011,46.92
소형,1.03,107.8,분홍색,17.8,2021,55.517
중형,1.07,85.0,흰색,8.4,2007,45.475
대형,1.44,86.8,흰색,9.8,2014,62.496
대형,1.4,84.3,흰색,21.9,2012,59.01
소형,1.04,89.1,회색,18.4,2019,46.332
대형,1.4,87.1,초록색,28.4,2019,60.97
중형,1.12,101.0,흰색,7.4,2012,56.56
중형,1.13,106.7,붉은색,18.5,2005,60.286
중형,1.05,107.7,흰색,21.6,2014,56.543
대형,1.39,75.2,회색,13.4,2017,52.264
중형,1.12,124.2,초록색,12.6,2010,69.552
대형,1.34,83.2,붉은색,17.0,2011,55.744
중형,1.16,91.8,검은색,7.3,2021,53.244
중형,1.13,113.8,흰색,13.3,2018,64.297
소형,1.07,93.4,초록색,29.5,2009,49.969
대형,1.45,74.6,검은색,7.8,2021,54.085
소형,0.93,98.8,붉은색,7.4,2007,45.942
중형,1.3,102.0,회색,14.5,2005,66.3
중형,1.06,80.6,검은색,13.1,2011,42.718
소형,0.9,97.9,초록색,14.8,2014,44.055
대형,1.44,77.8,회색,14.7,2011,56.016
소형,1.0,101.5,흰색,27.0,2005,50.75
중형,1.07,82.0,흰색,13.8,2005,43.87
중형,1.29,81.6,회색,16.1,2005,52.632
대형,1.38,85.8,푸른색,20.7,2010,59.202
중형,1.25,84.8,분홍색,21.6,2011,53.0
소형,1.09,92.1,분홍색,23.7,2012,50.195
중형,1.16,81.0,분홍색,20.3,2019,46.98
대형,1.42,80.1,푸른색,9.1,2011,56.871
소형,1.07,84.1,붉은색,10.0,2010,44.994
중형,1.21,124.3,분홍색,15.5,2021,75.202
대형,1.39,79.3,회색,11.7,2015,55.114
소형,1.09,82.2,초록색,29.9,2007,44.799
중형,1.18,124.9,회색,10.5,2007,73.691
대형,1.31,75.8,검은색,16.1,2018,49.649
대형,1.48,83.7,초록색,28.1,2009,61.938
소형,0.95,108.1,초록색,24.1,2008,51.348
중형,1.12,81.3,회색,28.1,2013,45.528
중형,1.05,85.8,검은색,15.2,2014,45.045
소형,0.99,104.1,초록색,15.9,2017,51.53
중형,1.28,80.7,흰색,18.5,2019,51.648
대형,1.31,70.0,흰색,12.0,2018,45.85
대형,1.46,74.2,초록색,25.4,2016,54.166
중형,1.16,92.3,흰색,26.6,2017,53.534
소형,1.01,107.5,회색,14.7,2008,54.288
대형,1.3,78.8,초록색,18.2,2005,51.22
소형,0.94,99.5,검은색,24.6,2017,46.765
소형,0.92,109.4,회색,7.4,2011,50.324
대형,1.45,84.7,흰색,20.3,2019,61.407
중형,1.05,113.5,붉은색,29.4,2012,59.588
소형,1.03,109.3,초록색,11.1,2021,56.29
대형,1.32,78.4,붉은색,8.7,2005,51.744
대형,1.43,76.0,붉은색,18.4,2014,54.34
중형,1.2,90.8,초록색,15.1,2013,54.48
중형,1.15,82.6,회색,20.8,2006,47.495
중형,1.27,95.2,초록색,28.8,2021,60.452
대형,1.5,83.1,검은색,16.1,2019,62.325
소형,0.97,81.5,흰색,27.5,2015,39.527
대형,1.38,74.5,회색,23.9,2016,51.405
소형,0.93,97.0,회색,23.0,2013,45.105
중형,1.23,106.5,분홍색,21.5,2020,65.498
대형,1.45,77.9,분홍색,24.8,2010,56.477
대형,1.48,89.5,푸른색,12.2,2016,66.23
소형,1.06,102.1,회색,13.2,2015,54.113
대형,1.26,89.2,푸른색,10.9,2010,56.196
소형,1.0,93.4,검은색,19.7,2016,46.7
대형,1.43,82.8,푸른색,16.8,2006,59.202
소형,0.9,97.6,푸른색,29.4,2011,43.92
소형,1.04,109.4,회색,16.8,2018,56.888
대형,1.28,78.9,회색,12.5,2017,50.496
중형,1.25,98.8,분홍색,29.6,2014,61.75
소형,0.97,96.2,흰색,27.6,2009,46.657
중형,1.2,109.5,붉은색,10.3,2005,65.7
대형,1.31,86.9,붉은색,17.9,2015,56.92
대형,1.35,73.0,흰색,15.9,2005,49.275
대형,1.35,72.7,초록색,27.1,2005,49.073
대형,1.26,71.5,흰색,27.9,2019,45.045
소형,1.03,95.1,초록색,26.3,2016,48.977
중형,1.08,121.9,붉은색,15.8,2013,65.826
중형,1.08,117.5,붉은색,16.1,2019,63.45
대형,1.26,80.6,분홍색,17.9,2014,50.778
중형,1.08,117.3,회색,13.0,2017,63.342
소형,0.97,82.6,검은색,15.8,2008,40.061
대형,1.5,76.3,흰색,17.9,2016,57.225
중형,1.13,96.7,회색,13.3,2020,54.636
대형,1.25,87.2,푸른색,11.7,2018,54.5
소형,0.98,91.9,붉은색,9.7,2009,45.031
대형,1.28,81.9,붉은색,11.9,2019,52.416
소형,1.08,82.6,분홍색,23.4,2009,44.604
대형,1.29,78.8,붉은색,17.8,2008,50.826
소형,0.98,81.1,회색,10.5,2019,39.739
소형,1.04,80.3,푸른색,8.3,2006,41.756
중형,1.27,82.5,푸른색,14.2,2020,52.388
소형,1.08,85.6,분홍색,7.1,2005,46.224
중형,1.23,118.4,분홍색,9.7,2005,72.816
대형,1.48,75.7,흰색,15.4,2019,56.018
중형,1.27,98.3,분홍색,28.5,2011,62.421
소형,1.06,85.4,흰색,29.2,2010,45.262
대형,1.49,71.5,붉은색,24.4,2020,53.267
대형,1.41,78.7,초록색,8.0,2006,55.483
중형,1.12,80.2,흰색,27.4,2019,44.912
소형,1.1,108.4,흰색,15.6,2019,59.62
대형,1.49,84.2,흰색,8.6,2017,62.729
대형,1.32,81.1,초록색,27.0,2011,53.526
대형,1.46,78.1,검은색,21.8,2021,57.013
대형,1.3,74.0,붉은색,22.8,2010,48.1
소형,0.96,94.9,흰색,11.7,2010,45.552
소형,1.07,85.4,푸른색,13.3,2016,45.689
대형,1.3,87.5,분홍색,13.5,2011,56.875
중형,1.09,105.1,붉은색,20.2,2015,57.28
대형,1.41,83.7,붉은색,27.9,2021,59.008
중형,1.24,93.5,흰색,29.3,2009,57.97
중형,1.26,109.6,푸른색,22.2,2016,69.048
중형,1.3,104.4,붉은색,16.0,2014,67.86
대형,1.27,73.6,흰색,28.5,2018,46.736
중형,1.21,116.9,흰색,8.5,2013,70.725
중형,1.06,115.8,흰색,28.1,2021,61.374
소형,0.9,99.3,분홍색,10.3,2012,44.685
대형,1.39,73.9,초록색,19.9,2005,51.361
소형,1.03,83.9,흰색,9.4,2010,43.209
대형,1.4,70.1,회색,22.7,2014,49.07
중형,1.29,120.5,흰색,25.7,2015,77.722
소형,1.01,100.0,회색,29.7,2015,50.5
중형,1.22,85.1,초록색,20.8,2008,51.911
중형,1.22,97.7,분홍색,28.7,2017,59.597
소형,1.02,91.3,붉은색,26.8,2007,46.563
대형,1.35,79.5,분홍색,23.8,2015,53.663
중형,1.26,85.6,검은색,10.6,2021,53.928
중형,1.14,104.4,검은색,23.3,2013,59.508
소형,0.98,106.1,붉은색,16.0,2005,51.989
대형,1.44,72.7,검은색,18.1,2018,52.344
소형,0.94,92.4,분홍색,12.0,2021,43.428
중형,1.1,118.9,흰색,19.9,2020,65.395
중형,1.11,106.8,검은색,13.5,2007,59.274
중형,1.07,96.9,붉은색,20.2,2006,51.842
중형,1.19,123.0,푸른색,18.0,2021,73.185
대형,1.39,79.0,분홍색,12.3,2016,54.905
소형,0.94,84.6,회색,21.8,2018,39.762
소형,0.9,108.0,흰색,23.1,2007,48.6
중형,1.22,89.9,검은색,15.7,2011,54.839
중형,1.16,80.8,붉은색,28.5,2014,46.864
중형,1.13,110.4,회색,28.8,2012,62.376
소형,1.04,88.3,흰색,12.7,2006,45.916
중형,1.28,117.0,초록색,29.8,2014,74.88
소형,0.93,93.0,분홍색,25.8,2005,43.245
중형,1.09,107.7,검은색,17.1,2020,58.697
대형,1.36,81.3,검은색,13.9,2009,55.284
대형,1.33,89.7,초록색,21.8,2012,59.651
소형,1.01,100.0,초록색,20.7,2010,50.5
대형,1.29,88.0,붉은색,22.4,2019,56.76
대형,1.44,71.4,분홍색,18.8,2010,51.408
소형,0.99,105.5,푸른색,14.1,2018,52.222
소형,0.9,84.5,검은색,21.4,2012,38.025
중형,1.05,120.4,초록색,14.1,2005,63.21
대형,1.31,75.3,검은색,21.7,2008,49.322
소형,1.03,83.6,초록색,12.8,2013,43.054
대형,1.48,74.5,붉은색,24.6,2011,55.13
대형,1.49,89.3,회색,12.1,2011,66.529
대형,1.46,71.1,붉은색,8.4,2015,51.903
소형,0.97,84.6,흰색,18.4,2008,41.031
중형,1.14,123.0,초록색,9.7,2016,70.11
대형,1.37,73.0,분홍색,20.0,2020,50.005
중형,1.28,125.0,흰색,9.2,2020,80.0
중형,1.13,112.5,붉은색,28.5,2009,63.563
소형,1.0,107.5,푸른색,18.8,2017,53.75
중형,1.18,90.9,흰색,11.2,2018,53.631
소형,1.06,93.3,검은색,17.9,2017,49.449
소형,0.91,106.2,흰색,13.9,2006,48.321
중형,1.27,123.4,검은색,29.8,2014,78.359
중형,1.27,89.5,붉은색,16.6,2007,56.833
소형,1.05,90.6,붉은색,25.7,2019,47.565
대형,1.35,81.1,검은색,16.8,2011,54.743
소형,0.97,95.1,분홍색,28.1,2008,46.123
대형,1.27,80.0,흰색,25.0,2005,50.8
대형,1.4,76.7,초록색,17.1,2011,53.69
소형,1.04,100.8,붉은색,20.2,2009,52.416
대형,1.36,70.2,회색,28.1,2005,47.736
중형,1.21,116.6,회색,19.3,2008,70.543
대형,1.25,74.6,회색,20.7,2018,46.625
대형,1.32,71.1,초록색,16.1,2014,46.926
소형,1.01,85.4,검은색,17.3,2009,43.127
중형,1.2,104.2,붉은색,16.9,2016,62.52
중형,1.2,101.3,검은색,8.2,2011,60.78
소형,1.1,102.9,검은색,27.5,2020,56.595
소형,0.93,99.9,푸른색,23.5,2017,46.454
중형,1.07,96.3,흰색,9.7,2018,51.521
소형,0.94,86.7,초록색,21.8,2018,40.749
중형,1.09,95.9,검은색,24.8,2008,52.266
소형,1.03,101.4,붉은색,27.0,2007,52.221
대형,1.45,75.7,초록색,19.4,2014,54.883
소형,1.06,82.5,회색,14.2,2017,43.725
소형,1.03,89.8,초록색,10.2,2021,46.247
대형,1.3,70.1,붉은색,29.9,2021,45.565
소형,1.09,84.5,흰색,26.2,2020,46.053
중형,1.28,111.3,회색,9.8,2018,71.232
대형,1.25,81.6,분홍색,8.0,2015,51.0
대형,1.49,75.6,회색,30.0,2007,56.322
소형,1.08,105.4,푸른색,26.1,2006,56.916
대형,1.26,81.7,분홍색,25.9,2015,51.471
대형,1.3,74.7,검은색,27.2,2013,48.555
소형,1.1,102.8,흰색,9.5,2007,56.54
소형,0.91,96.5,분홍색,16.1,2011,43.907
중형,1.1,94.1,검은색,22.6,2017,51.755
소형,0.94,95.9,붉은색,11.2,2016,45.073
소형,0.98,94.8,분홍색,11.9,2007,46.452
소형,0.94,94.7,분홍색,28.4,2010,44.509
대형,1.41,80.0,흰색,7.2,2005,56.4
중형,1.24,111.7,회색,23.0,2005,69.254
대형,1.45,82.2,분홍색,7.8,2012,59.595
대형,1.5,77.7,분홍색,10.7,2011,58.275
대형,1.45,77.0,회색,21.4,2021,55.825
소형,0.99,81.7,분홍색,27.7,2021,40.441
대형,1.34,72.1,흰색,25.5,2014,48.307
중형,1.24,105.3,초록색,18.4,2015,65.286
소형,0.95,107.4,흰색,28.6,2018,51.015
중형,1.09,91.8,초록색,19.3,2008,50.031
대형,1.48,75.5,흰색,27.1,2021,55.87
중형,1.26,123.8,초록색,21.6,2021,77.994
중형,1.18,103.7,분홍색,10.6,2017,61.183
중형,1.14,124.8,푸른색,9.7,2012,71.136
대형,1.47,74.7,푸른색,20.5,2007,54.904
대형,1.26,81.2,분홍색,29.1,2016,51.156
대형,1.38,75.9,회색,15.4,2017,52.371
대형,1.43,75.4,분홍색,14.1,2006,53.911
소형,0.9,105.5,초록색,15.3,2013,47.475
대형,1.26,78.1,초록색,19.7,2017,49.203
대형,1.25,77.2,분홍색,23.9,2015,48.25
중형,1.05,124.6,붉은색,16.2,2016,65.415
중형,1.13,87.4,흰색,10.7,2010,49.381
중형,1.13,102.0,흰색,13.4,2005,57.63
소형,0.99,86.4,푸른색,9.4,2005,42.768
소형,0.91,98.7,붉은색,11.0,2011,44.909
대형,1.46,82.1,푸른색,26.4,2019,59.933
중형,1.16,96.6,분홍색,12.9,2020,56.028
중형,1.15,97.3,분홍색,7.9,2005,55.948
대형,1.37,82.8,흰색,22.6,2008,56.718
소형,0.92,109.0,분홍색,11.7,2009,50.14
대형,1.37,85.8,붉은색,22.1,2019,58.773
대형,1.41,79.5,검은색,20.9,2015,56.047
중형,1.2,90.0,흰색,13.7,2021,54.0
중형,1.25,108.4,회색,25.7,2012,67.75
중형,1.19,124.6,분홍색,9.1,2021,74.137
중형,1.08,102.7,회색,28.1,2014,55.458
대형,1.42,70.9,붉은색,29.0,2016,50.339
대형,1.29,77.8,붉은색,21.9,2021,50.181
대형,1.41,77.8,붉은색,8.1,2016,54.849
중형,1.18,100.2,분홍색,26.8,2009,59.118
대형,1.27,79.2,붉은색,19.5,2011,50.292
소형,1.06,96.2,흰색,21.8,2011,50.986
소형,0.91,97.6,붉은색,15.9,2010,44.408
중형,1.3,111.4,분홍색,18.4,2005,72.41
대형,1.35,78.9,초록색,21.8,2017,53.258
소형,0.99,108.2,초록색,8.3,2018,53.559
대형,1.31,77.4,회색,22.3,2007,50.697
소형,0.98,97.5,초록색,24.8,2011,47.775
소형,0.95,104.7,검은색,16.8,2010,49.733
중형,1.25,108.9,붉은색,21.7,2005,68.062
소형,0.99,109.3,회색,14.6,2006,54.104
대형,1.38,71.0,분홍색,17.5,2005,48.99
중형,1.06,89.3,회색,21.3,2015,47.329
중형,1.12,113.2,붉은색,15.9,2016,63.392
중형,1.29,80.5,검은색,24.6,2013,51.922
중형,1.3,84.2,흰색,12.6,2018,54.73
중형,1.25,85.7,초록색,21.4,2017,53.562
중형,1.23,81.6,초록색,17.9,2009,50.184
소형,1.0,80.0,회색,9.6,2011,40.0
대형,1.26,76.3,붉은색,16.8,2019,48.069
대형,1.3,79.3,검은색,9.5,2015,51.545
중형,1.12,90.5,초록색,20.6,2010,50.68
소형,0.91,103.1,푸른색,16.6,2018,46.911
소형,0.92,92.1,흰색,20.9,2016,42.366
소형,0.98,92.5,분홍색,16.0,2021,45.325
소형,0.94,81.8,분홍색,18.0,2008,38.446
중형,1.2,96.4,초록색,22.8,2012,57.84
중형,1.18,125.0,회색,20.4,2018,73.75
중형,1.24,104.4,회색,7.4,2013,64.728
중형,1.27,95.3,푸른색,11.9,2014,60.516
대형,1.38,76.9,회색,18.5,2013,53.061
중형,1.12,109.4,회색,7.6,2019,61.264
중형,1.19,92.9,초록색,27.4,2006,55.276
대형,1.33,89.9,푸른색,8.3,2010,59.784
소형,0.91,87.2,붉은색,9.3,2012,39.676
중형,1.11,99.9,초록색,13.9,2019,55.445
대형,1.31,87.2,회색,27.1,2011,57.116
대형,1.4,78.8,분홍색,26.6,2014,55.16
소형,0.94,90.2,푸른색,22.4,2015,42.394
소형,1.01,82.7,초록색,15.8,2011,41.764
중형,1.15,112.7,분홍색,25.8,2016,64.803
중형,1.21,107.3,분홍색,30.0,2021,64.916
소형,0.92,105.5,분홍색,12.2,2019,48.53
중형,1.29,118.9,분홍색,11.4,2013,76.691
소형,1.0,90.8,붉은색,23.6,2008,45.4
중형,1.29,104.5,흰색,7.5,2014,67.403
소형,1.08,90.6,붉은색,29.4,2015,48.924
대형,1.35,71.6,회색,17.9,2014,48.33
중형,1.18,119.3,초록색,29.7,2005,70.387
대형,1.26,81.3,초록색,13.2,2017,51.219
중형,1.07,118.1,초록색,16.4,2015,63.184
중형,1.14,111.3,회색,10.2,2009,63.441
중형,1.13,116.7,초록색,30.0,2013,65.936
중형,1.19,91.3,검은색,23.1,2013,54.324
소형,1.07,103.6,푸른색,17.3,2007,55.426
소형,0.9,92.5,분홍색,16.8,2019,41.625
대형,1.36,84.5,흰색,14.4,2007,57.46
대형,1.31,88.8,푸른색,25.1,2014,58.164
대형,1.37,84.6,푸른색,29.9,2005,57.951
대형,1.4,77.9,푸른색,8.4,2013,54.53
대형,1.25,75.1,푸른색,26.3,2019,46.938
소형,1.06,107.8,회색,7.8,2007,57.134
중형,1.1,86.2,분홍색,18.1,2017,47.41
대형,1.45,75.8,검은색,29.7,2019,54.955
대형,1.44,88.4,푸른색,23.9,2007,63.648
소형,1.09,92.5,푸른색,27.0,2012,50.413
소형,1.04,99.2,푸른색,8.1,2010,51.584
소형,0.95,108.7,붉은색,15.9,2011,51.633
중형,1.3,98.0,검은색,12.6,2011,63.7
중형,1.11,101.4,푸른색,21.7,2015,56.277
대형,1.47,80.9,붉은색,18.6,2021,59.462
소형,1.02,105.6,분홍색,15.3,2020,53.856
대형,1.5,82.9,검은색,28.2,2019,62.175
소형,0.97,95.3,초록색,29.2,2006,46.221
소형,0.99,106.0,검은색,15.3,2020,52.47
소형,0.91,109.0,푸른색,7.5,2008,49.595
소형,0.98,80.9,붉은색,7.7,2013,39.641
중형,1.16,88.7,검은색,8.9,2021,51.446
중형,1.25,95.4,분홍색,26.7,2007,59.625
중형,1.11,103.3,분홍색,29.3,2011,57.332
대형,1.33,82.6,검은색,9.8,2014,54.929
중형,1.07,116.6,회색,24.8,2020,62.381
대형,1.4,71.3,초록색,24.3,2012,49.91
대형,1.27,76.6,푸른색,17.1,2008,48.641
대형,1.39,87.4,푸른색,13.6,2018,60.743
